Total solution: 92
Solution 1: (0,0),(1,4),(2,7),(3,5),(4,2),(5,6),(6,1),(7,3)
Solution 2: (0,0),(1,5),(2,7),(3,2),(4,6),(5,3),(6,1),(7,4)
Solution 3: (0,0),(1,6),(2,3),(3,5),(4,7),(5,1),(6,4),(7,2)
Solution 4: (0,0),(1,6),(2,4),(3,7),(4,1),(5,3),(6,5),(7,2)
Solution 5: (0,1),(1,3),(2,5),(3,7),(4,2),(5,0),(6,6),(7,4)
Solution 6: (0,1),(1,4),(2,6),(3,0),(4,2),(5,7),(6,5),(7,3)
Solution 7: (0,1),(1,4),(2,6),(3,3),(4,0),(5,7),(6,5),(7,2)
Solution 8: (0,1),(1,5),(2,0),(3,6),(4,3),(5,7),(6,2),(7,4)
Solution 9: (0,1),(1,5),(2,7),(3,2),(4,0),(5,3),(6,6),(7,4)
Solution 10: (0,1),(1,6),(2,2),(3,5),(4,7),(5,4),(6,0),(7,3)
Solution 11: (0,1),(1,6),(2,4),(3,7),(4,0),(5,3),(6,5),(7,2)
Solution 12: (0,1),(1,7),(2,5),(3,0),(4,2),(5,4),(6,6),(7,3)
Solution 13: (0,2),(1,0),(2,6),(3,4),(4,7),(5,1),(6,3),(7,5)
Solution 14: (0,2),(1,4),(2,1),(3,7),(4,0),(5,6),(6,3),(7,5)
Solution 15: (0,2),(1,4),(2,1),(3,7),(4,5),(5,3),(6,6),(7,0)
Solution 16: (0,2),(1,4),(2,6),(3,0),(4,3),(5,1),(6,7),(7,5)
Solution 17: (0,2),(1,4),(2,7),(3,3),(4,0),(5,6),(6,1),(7,5)
Solution 18: (0,2),(1,5),(2,1),(3,4),(4,7),(5,0),(6,6),(7,3)
Solution 19: (0,2),(1,5),(2,1),(3,6),(4,0),(5,3),(6,7),(7,4)
Solution 20: (0,2),(1,5),(2,1),(3,6),(4,4),(5,0),(6,7),(7,3)
Solution 21: (0,2),(1,5),(2,3),(3,0),(4,7),(5,4),(6,6),(7,1)
Solution 22: (0,2),(1,5),(2,3),(3,1),(4,7),(5,4),(6,6),(7,0)
Solution 23: (0,2),(1,5),(2,7),(3,0),(4,3),(5,6),(6,4),(7,1)
Solution 24: (0,2),(1,5),(2,7),(3,0),(4,4),(5,6),(6,1),(7,3)
Solution 25: (0,2),(1,5),(2,7),(3,1),(4,3),(5,0),(6,6),(7,4)
Solution 26: (0,2),(1,6),(2,1),(3,7),(4,4),(5,0),(6,3),(7,5)
Solution 27: (0,2),(1,6),(2,1),(3,7),(4,5),(5,3),(6,0),(7,4)
Solution 28: (0,2),(1,7),(2,3),(3,6),(4,0),(5,5),(6,1),(7,4)
Solution 29: (0,3),(1,0),(2,4),(3,7),(4,1),(5,6),(6,2),(7,5)
Solution 30: (0,3),(1,0),(2,4),(3,7),(4,5),(5,2),(6,6),(7,1)
Solution 31: (0,3),(1,1),(2,4),(3,7),(4,5),(5,0),(6,2),(7,6)
Solution 32: (0,3),(1,1),(2,6),(3,2),(4,5),(5,7),(6,0),(7,4)
Solution 33: (0,3),(1,1),(2,6),(3,2),(4,5),(5,7),(6,4),(7,0)
Solution 34: (0,3),(1,1),(2,6),(3,4),(4,0),(5,7),(6,5),(7,2)
Solution 35: (0,3),(1,1),(2,7),(3,4),(4,6),(5,0),(6,2),(7,5)
Solution 36: (0,3),(1,1),(2,7),(3,5),(4,0),(5,2),(6,4),(7,6)
Solution 37: (0,3),(1,5),(2,0),(3,4),(4,1),(5,7),(6,2),(7,6)
Solution 38: (0,3),(1,5),(2,7),(3,1),(4,6),(5,0),(6,2),(7,4)
Solution 39: (0,3),(1,5),(2,7),(3,2),(4,0),(5,6),(6,4),(7,1)
Solution 40: (0,3),(1,6),(2,0),(3,7),(4,4),(5,1),(6,5),(7,2)
Solution 41: (0,3),(1,6),(2,2),(3,7),(4,1),(5,4),(6,0),(7,5)
Solution 42: (0,3),(1,6),(2,4),(3,1),(4,5),(5,0),(6,2),(7,7)
Solution 43: (0,3),(1,6),(2,4),(3,2),(4,0),(5,5),(6,7),(7,1)
